Наименование^Смеситель для кухни Ledeme  L4108 Хром,Категория^smesiteli,Артикул^L4108,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Моно,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4108/smesitel-ledeme-l41081.jpg,./images/smesiteli//L4108/smesitel-dlya-kukhni-ledeme-l4108-khrom030.jpg"
Наименование^Кран для стиральной машины Ledeme  L4695-1,Категория^smesiteli,Артикул^L4695-1,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Управление^Моно,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, Настенные",Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Материал^Латунь,"В комплекте^Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L4695-1/kran-sadovyj-ledeme-l4695-10011.jpg,./images/smesiteli//L4695-1/kran-sadovyj-ledeme-l4695-10021.jpg"
Наименование^Смеситель для кухни Ledeme  L4595,Категория^smesiteli,Артикул^L4595,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Моно,Стиль^Классика,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4595/smesitel-ledeme-l45951.jpg,./images/smesiteli//L4595/smesitel-dlya-kukhni-ledeme-l4595030.jpg"
Наименование^Кран водоразборный Ledeme  L70101,Категория^smesiteli,Артикул^L70101,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Управление^Моно,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, Настенные",Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Материал^Латунь,"В комплекте^Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L70101/kran-sadovyj-ledeme-l70101001.jpg,./images/smesiteli//L70101/kran-sadovyj-ledeme-l70101002.jpg"
Наименование^Кран для гигиенического душа и бочки унитаза Ledeme  LH507-1,Категория^smesiteli,Артикул^LH507-1,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Управление^Моно,Стиль^Современные,Цвет^Хром,Форма излива^Без излива,"Способ монтажа^На одно отверстие, Настенные",Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Материал^Латунь,"В комплекте^Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//LH507-1/kran-sadovyj-ledeme-lh507-10011.jpg,./images/smesiteli//LH507-1/kran-sadovyj-ledeme-lh507-10021.jpg"
Наименование^Смеситель для кухни Ledeme  L4196 Хром,Категория^smesiteli,Артикул^L4196,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Моно,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4196/smesitel-ledeme-l41961.jpg,./images/smesiteli//L4196/smesitel-dlya-kukhni-ledeme-l4196-khrom030.jpg"
Наименование^Смеситель для кухни Ledeme  L74195,Категория^smesiteli,Артикул^L74195,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Моно,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Нержавеющая сталь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L74195/smesitel-dlya-kukhni-ledeme-l74195003.jpg,./images/smesiteli//L74195/smesitel-dlya-kukhni-ledeme-l74195004.jpg,./images/smesiteli//L74195/smesitel-dlya-kukhni-ledeme-l74195005.jpg,./images/smesiteli//L74195/smesitel-dlya-kukhni-ledeme-l74195006.jpg,./images/smesiteli//L74195/smesitel-dlya-kukhni-ledeme-l74195007.jpg,./images/smesiteli//L74195/smesitel-dlya-kukhni-ledeme-l74195030.jpg"
Наименование^Смеситель для кухни Ledeme H27 L4027 Хром,Категория^smesiteli,Артикул^L4027,Коллекция^H27,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4027/smesitel-ledeme-l40271.jpg,./images/smesiteli//L4027/smesitel-dlya-kukhni-ledeme-l4027-khrom030.jpg"
Наименование^Смеситель для кухни Ledeme H17 L4017 Хром,Категория^smesiteli,Артикул^L4017,Коллекция^H17,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4017/smesitel-ledeme-l40171.jpg,./images/smesiteli//L4017/smesitel-dlya-kukhni-ledeme-l4017-khrom030.jpg"
Наименование^Смеситель для кухни Ledeme H08 L4008,Категория^smesiteli,Артикул^L4008,Коллекция^H08,Размеры (см.)^–x–x– см.,Материал^Силумин,Цвет^хром,Гарантийный срок^1 год,Страна^Китай China,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4008/smesitel-ledeme-h08-l40081.jpg,./images/smesiteli//L4008/smesitel-dlya-kukhni-ledeme-l4008030.jpg"
Наименование^Смеситель для кухни Ledeme H09 L4009 Хром,Категория^smesiteli,Артикул^L4009,Коллекция^H09,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4009/smesitel-ledeme-l40091.jpg,./images/smesiteli//L4009/smesitel-dlya-kukhni-ledeme-l4009-khrom030.jpg"
Наименование^Смеситель для кухни Ledeme H12 L4012,Категория^smesiteli,Артикул^L4012,Коллекция^H12,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4012/smesitel-ledeme-h12-l40121.jpg,./images/smesiteli//L4012/smesitel-dlya-kukhni-ledeme-l4012030.jpg"
Наименование^Смеситель для кухни Ledeme H20 L4020 Хром,Категория^smesiteli,Артикул^L4020,Коллекция^H20,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4020/ledeme-l40201.jpg,./images/smesiteli//L4020/smesitel-dlya-kukhni-ledeme-l4020-khrom030.jpg"
Наименование^Смеситель для кухни Ledeme H26 L4026,Категория^smesiteli,Артикул^L4026,Коллекция^H26,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4026/smesitel-ledeme-h26-l40261.jpg,./images/smesiteli//L4026/smesitel-dlya-kukhni-ledeme-l4026030.jpg"
Наименование^Смеситель для кухни Ledeme H27 L4927 Хром,Категория^smesiteli,Артикул^L4927,Коллекция^H27,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4927/smesitel-ledeme-l49271.jpg,./images/smesiteli//L4927/smesitel-dlya-kukhni-ledeme-l4927-khrom030.jpg"
Наименование^Смеситель для кухни Ledeme H17 L4917 Хром,Категория^smesiteli,Артикул^L4917,Коллекция^H17,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4917/smesitel-ledeme-l49171.jpg,./images/smesiteli//L4917/smesitel-dlya-kukhni-ledeme-l4917-khrom030.jpg"
Наименование^Смеситель для кухни Ledeme H08 L4908,Категория^smesiteli,Артикул^L4908,Коллекция^H08,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4908/smesitel-ledeme-h08-l49081.jpg,./images/smesiteli//L4908/smesitel-dlya-kukhni-ledeme-l4908030.jpg"
Наименование^Смеситель для кухни Ledeme H09 L4909 Хром,Категория^smesiteli,Артикул^L4909,Коллекция^H09,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4909/smesitel-ledeme-l49091.jpg,./images/smesiteli//L4909/smesitel-dlya-kukhni-ledeme-l4909-khrom030.jpg"
Наименование^Смеситель для кухни Ledeme H12 L4912,Категория^smesiteli,Артикул^L4912,Коллекция^H12,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L4912/smesitel-ledeme-h12-l49121.jpg,./images/smesiteli//L4912/smesitel-dlya-kukhni-ledeme-l4912030.jpg"
Наименование^Смеситель для кухни Ledeme H20 L4920 Хром,Категория^smesiteli,Артикул^L4920,Коллекция^H20,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4920/ledeme-l49201.jpg,./images/smesiteli//L4920/smesitel-dlya-kukhni-ledeme-l4920-khrom030.jpg"
Наименование^Смеситель для кухни Ledeme H26 L4926,Категория^smesiteli,Артикул^L4926,Коллекция^H26,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Высокий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4926/smesitel-ledeme-h26-l49261.jpg,./images/smesiteli//L4926/smesitel-dlya-kukhni-ledeme-l4926030.jpg"
Наименование^Смеситель для кухни Ledeme H39-B L4539-B,Категория^smesiteli,Артикул^L4539-B,Коллекция^H39-B,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4539-B/smesitel-ledeme-h39-b-l4539-b1.jpg,./images/smesiteli//L4539-B/smesitel-dlya-kukhni-ledeme-l4539-b030.jpg"
Наименование^Смеситель для кухни Ledeme H38-B L4538-B,Категория^smesiteli,Артикул^L4538-B,Коллекция^H38-B,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4538-B/smesitel-ledeme-h38-b-l4538-b1.jpg,./images/smesiteli//L4538-B/smesitel-dlya-kukhni-ledeme-l4538-b030.jpg"
Наименование^Смеситель для кухни Ledeme H14-B L4514-B,Категория^smesiteli,Артикул^L4514-B,Коллекция^H14-B,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4514-B/smesitel-ledeme-h14-b-l4514-b1.jpg,./images/smesiteli//L4514-B/smesitel-dlya-kukhni-ledeme-l4514-b030.jpg"
Наименование^Смеситель для раковины Ledeme H38-B L1038-B,Категория^smesiteli,Артикул^L1038-B,Коллекция^H38-B,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L1038-B/smesitel-ledeme-h38-b-l1038-b1.jpg,./images/smesiteli//L1038-B/smesitel-dlya-rakoviny-ledeme-l1038-b030.jpg"
Наименование^Смеситель для раковины Ledeme H39-B L1039-B,Категория^smesiteli,Артикул^L1039-B,Коллекция^H39-B,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L1039-B/smesitel-ledeme-h39-b-l1039-b1.jpg,./images/smesiteli//L1039-B/smesitel-dlya-rakoviny-ledeme-l1039-b030.jpg"
Наименование^Смеситель для раковины Ledeme H14-B L1014-B,Категория^smesiteli,Артикул^L1014-B,Коллекция^H14-B,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Стационарный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L1014-B/smesitel-ledeme-h14-b-l1014-b1.jpg,./images/smesiteli//L1014-B/smesitel-ledeme-h14-b-l1014-b-v-interere1.jpg,./images/smesiteli//L1014-B/smesitel-dlya-rakoviny-ledeme-l1014-b030.jpg"
Наименование^Смеситель для кухни Ledeme H68-B L4568-B,Категория^smesiteli,Артикул^L4568-B,Коллекция^H68-B,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для кухни,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Средний,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Силумин,"images_path^./images/smesiteli//L4568-B/smesitel-ledeme-h68-b-l4568-b1.jpg,./images/smesiteli//L4568-B/smesitel-dlya-kukhni-ledeme-l4568-b030.jpg"
